                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6898,                 1.2551,                 1.0626,                0.35132,                0.26469,                0.22534,                0.12037,                 1.6192,                 1.1596,                0.97904,               0.008911,               0.008911,               0.008911
                     36,                 1.6895,                 1.2561,                 1.0598,                0.37498,                0.26064,                0.23572,                0.12583,                 1.5885,                 1.1243,                0.97666,               0.008878,               0.008878,               0.008878
                     37,                 1.6818,                 1.2506,                 1.0585,                0.37539,                0.26654,                0.23715,                0.12536,                 1.6104,                 1.1415,                0.97776,               0.008845,               0.008845,               0.008845
                     38,                 1.6865,                 1.2471,                 1.0602,                0.37203,                0.27243,                0.24511,                0.13074,                 1.5949,                 1.1388,                0.97567,               0.008812,               0.008812,               0.008812
                     39,                 1.6897,                 1.2464,                 1.0561,                0.42116,                0.24069,                0.24321,                0.12995,                 1.5644,                 1.1062,                0.96953,               0.008779,               0.008779,               0.008779
                     40,                 1.6852,                 1.2426,                 1.0585,                0.37627,                0.26836,                0.24505,                0.13152,                 1.5688,                 1.0947,                0.96753,               0.008746,               0.008746,               0.008746
                     41,                 1.6778,                 1.2274,                 1.0536,                0.37936,                0.25724,                0.24176,                0.13013,                 1.5729,                 1.1118,                0.97088,               0.008713,               0.008713,               0.008713
                     42,                 1.6812,                 1.2324,                 1.0583,                0.35249,                0.27068,                0.24529,                0.12787,                 1.6161,                 1.1243,                0.98283,                0.00868,                0.00868,                0.00868
                     43,                 1.6712,                 1.2239,                 1.0549,                0.37835,                0.26993,                0.24741,                0.13097,                 1.5943,                 1.0986,                0.97441,               0.008647,               0.008647,               0.008647
                     44,                 1.6753,                 1.2246,                 1.0551,                0.37398,                0.27223,                0.25465,                0.13771,                 1.5546,                 1.0714,                 0.9637,               0.008614,               0.008614,               0.008614
                     45,                 1.6669,                 1.2163,                 1.0509,                0.40373,                0.26075,                0.25038,                0.13429,                 1.5799,                 1.0947,                0.97229,               0.008581,               0.008581,               0.008581
                     46,                 1.6665,                 1.2126,                 1.0521,                0.37159,                0.27502,                0.25103,                0.13488,                  1.589,                 1.1054,                 0.9753,               0.008548,               0.008548,               0.008548
                     47,                 1.6598,                 1.2016,                 1.0499,                0.40209,                0.28246,                0.26612,                 0.1431,                  1.559,                 1.0693,                0.96475,               0.008515,               0.008515,               0.008515
